name,club,season,position,overall,nationality
Javi Guerra,Rayo Vallecano,2017/18,ST,72,Spain
Álex Fernández,Cádiz C.F.,2017/18,CM,72,Spain
F. Barba,Real Sporting de Gijón,2017/18,CB,72,Italy
Verza,UD Almería,2017/18,CM,72,Spain
Xisco,CA Osasuna,2017/18,ST,72,Spain
Canella,Real Sporting de Gijón,2017/18,LB,70,Spain
Pozo,UD Almería,2017/18,RW,71,Spain
N. Leiva,Real Betis Balompié,2017/18,RW,72,Spain
Z. Bakkali,RC Deportivo de La Coruña,2017/18,LW,72,Belgium
Marín,Villarreal CF,2017/18,LWB,73,Spain
S. Lukić,Levante UD,2017/18,CM,70,Serbia
Iván López,Levante UD,2017/18,RWB,72,Spain
Marc Navarro,RCD Espanyol,2017/18,RB,71,Spain
Aketxe,Athletic Club de Bilbao,2017/18,LW,72,Spain
José Mari,Cádiz C.F.,2017/18,CM,72,Spain
Alberto Martín,Granada CF,2017/18,CM,72,Spain
Unai López,Rayo Vallecano,2017/18,CAM,72,Spain
Douglas Luiz,Girona CF,2017/18,CDM,73,Brazil
Sergi Samper,UD Las Palmas,2017/18,CM,73,Spain
H. Toledo,UD Las Palmas,2017/18,RW,72,Argentina
Javi Ontiveros,Málaga CF,2017/18,LW,71,Spain
M. Lacen,Getafe CF,2017/18,CM,73,Algeria
Luismi,Real Valladolid,2017/18,CB,71,Spain
J. Arzura,CA Osasuna,2017/18,CDM,72,Argentina
Vigaray,Deportivo Alavés,2017/18,CB,72,Spain
Hervías,Real Valladolid,2017/18,RW,72,Spain
Rubén Sobrino,Deportivo Alavés,2017/18,LW,70,Spain
Fidel,UD Almería,2017/18,LW,74,Spain
Amaya,Rayo Vallecano,2017/18,CB,71,Spain
Sergio Herrera,CA Osasuna,2017/18,GK,71,Spain
A. González,SD Huesca,2017/18,RB,71,Venezuela
Isma López,Real Sporting de Gijón,2017/18,LW,71,Spain
Erik Morán,CD Leganés,2017/18,CM,72,Spain
Molinero,Getafe CF,2017/18,RB,71,Spain
Vadillo,SD Huesca,2017/18,RW,71,Spain
E. Fernández,Deportivo Alavés,2017/18,LW,71,France
Carlos David,SD Huesca,2017/18,CB,72,Spain
E. Rolón,Málaga CF,2017/18,CDM,64,Argentina
Montoro,Granada CF,2017/18,CM,71,Spain
G. Gianniotas,Real Valladolid,2017/18,RW,71,Greece
L. Carole,Sevilla FC,2017/18,LB,74,France
Germán,Granada CF,2017/18,CB,71,Spain
Castro,Real Sporting de Gijón,2017/18,CAM,72,Spain
C. Pantilimon,RC Deportivo de La Coruña,2017/18,GK,76,Romania
Álvaro,Getafe CF,2017/18,CAM,71,Spain
Baena,Granada CF,2017/18,CM,71,Spain
Lillo,CA Osasuna,2017/18,RWB,72,Spain
Garrido,Cádiz C.F.,2017/18,CDM,70,Spain
K. Sankaré,Cádiz C.F.,2017/18,CB,71,Senegal
Albentosa,RC Deportivo de La Coruña,2017/18,CB,74,Spain
Momo,UD Las Palmas,2017/18,RW,73,Spain
Nacho Gil,Valencia CF,2017/18,RW,70,Spain
René,UD Almería,2017/18,GK,70,Spain
Y. En-Nesyri,Málaga CF,2017/18,ST,69,Morocco
M. García,CA Osasuna,2017/18,RW,71,Argentina
M. Olunga,Girona CF,2017/18,ST,69,Kenya
Gerard,CD Leganés,2017/18,CB,70,Spain
Alex López,Real Sporting de Gijón,2017/18,CDM,73,Spain
Hernán,UD Las Palmas,2017/18,CDM,72,Spain
Christian Rivera,SD Eibar,2017/18,CM,71,Spain
Álex Pérez,Real Sporting de Gijón,2017/18,CB,68,Spain
Álex Moreno,Rayo Vallecano,2017/18,LW,71,Spain
W. Montoya,Sevilla FC,2017/18,RW,71,Argentina
Héctor,Deportivo Alavés,2017/18,LW,71,Spain
Cotán,Real Valladolid,2017/18,CM,72,Spain
J. Hernández,SD Huesca,2017/18,CAM,64,Colombia
N. Champagne,CD Leganés,2017/18,GK,71,Argentina
Luso,SD Huesca,2017/18,CB,72,Spain
F. Boulaya,Girona CF,2017/18,CM,70,Algeria
A. Bangoura,Rayo Vallecano,2017/18,CAM,70,Guinea
Quini,Granada CF,2017/18,RB,71,Spain
Cifuentes,Málaga CF,2017/18,RW,73,Spain
Gerard Valentín,RC Deportivo de La Coruña,2017/18,RW,71,Spain
Manu Herrera,CA Osasuna,2017/18,GK,70,Spain
A. Toşca,Real Betis Balompié,2017/18,LB,70,Romania
L. Owona,UD Almería,2017/18,CB,70,Cameroon
Juan Muñoz,UD Almería,2017/18,CAM,71,Spain
Cifuentes,Cádiz C.F.,2017/18,GK,70,Spain
Borja Lasso,Sevilla FC,2017/18,CM,70,Spain
E. Martinez,Getafe CF,2017/18,GK,70,Argentina
Manucho,Rayo Vallecano,2017/18,ST,70,Angola
Pedro Sánchez,Granada CF,2017/18,CAM,70,Spain
Aitor García,Cádiz C.F.,2017/18,LW,68,Spain
Chuli,Getafe CF,2017/18,LW,70,Spain
Fran Villalba,Valencia CF,2017/18,CM,70,Spain
Mora,Getafe CF,2017/18,CM,70,Spain
Melendo,RCD Espanyol,2017/18,LW,70,Spain
P. Caballero,UD Almería,2017/18,ST,70,Argentina
Toño Ramirez,Real Sociedad,2017/18,GK,70,Spain
David Ferreiro,SD Huesca,2017/18,RW,70,Spain
Antoñito,Real Valladolid,2017/18,RW,69,Spain
Anuar,Real Valladolid,2017/18,CDM,65,Morocco
Sastre,SD Huesca,2017/18,CM,70,Spain
Adrián Ortolá,FC Barcelona,2017/18,GK,70,Spain
Rafa Navarro,Real Betis Balompié,2017/18,LB,70,Spain
Brais Méndez,RC Celta de Vigo,2017/18,CAM,66,Spain
F. Manojlović,Getafe CF,2017/18,GK,70,Serbia
A. Werner,Atlético Madrid,2017/18,GK,69,Argentina
Morcillo,UD Almería,2017/18,CB,70,Spain
Alex Alegría,Levante UD,2017/18,ST,75,Spain
Borja Fernández,Real Valladolid,2017/18,CDM,70,Spain
David Barral,Cádiz C.F.,2017/18,ST,70,Spain
Dani Giménez,Real Betis Balompié,2017/18,GK,70,Spain
Aleix García,Girona CF,2017/18,CDM,70,Spain
Rui Silva,Granada CF,2017/18,GK,70,Portugal
Nacho,Real Valladolid,2017/18,LB,70,Spain
M. Arambarri,Getafe CF,2017/18,CM,69,Uruguay
P. Tytoń,RC Deportivo de La Coruña,2017/18,GK,72,Poland
Pablo Pérez,Real Sporting de Gijón,2017/18,LW,70,Spain
Edu Expósito,RC Deportivo de La Coruña,2017/18,CM,69,Spain
Óscar Pinchi,RC Deportivo de La Coruña,2017/18,ST,70,Spain
Jair Amador,SD Huesca,2017/18,CB,69,Portugal
Iban Salvador,Real Valladolid,2017/18,LW,69,Equatorial Guinea
Sebas Coris,CA Osasuna,2017/18,RW,67,Spain
R. Abdullah,Cádiz C.F.,2017/18,CAM,70,Comoros
Sivera,Deportivo Alavés,2017/18,GK,66,Spain
Villalibre,Real Valladolid,2017/18,ST,68,Spain
Santi Comesaña,Rayo Vallecano,2017/18,CM,69,Spain
Jon Bautista,Real Sociedad,2017/18,ST,70,Spain
J. Firpo,Real Betis Balompié,2017/18,LB,60,Dominican Republic
Carpio,Cádiz C.F.,2017/18,RB,71,Spain
Mario Fernández,Rayo Vallecano,2017/18,GK,69,Spain
Galán,Rayo Vallecano,2017/18,CB,69,Spain
R. Aït Atmane,Real Sporting de Gijón,2017/18,CM,71,Algeria
Borja Viguera,Real Sporting de Gijón,2017/18,CAM,70,Spain
R. Brežančić,SD Huesca,2017/18,LB,69,Serbia
Nano,UD Almería,2017/18,LB,71,Spain
Trujillo,UD Almería,2017/18,CB,70,Spain
Rubén Alcaraz,UD Almería,2017/18,CDM,68,Spain
Calero,Real Valladolid,2017/18,CB,66,Spain
S. Moore,Levante UD,2017/18,CB,66,United States
Javi Moyano,Real Valladolid,2017/18,RB,69,Spain
M. Kone,CD Leganés,2017/18,ST,69,Ivory Coast
Dorado,Rayo Vallecano,2017/18,LB,69,Spain
Fran Beltrán,Rayo Vallecano,2017/18,LW,69,Spain
Javi Álamo,UD Almería,2017/18,RW,69,Spain
Brian Oliván,Cádiz C.F.,2017/18,LB,69,Spain
Borja Herrera,UD Las Palmas,2017/18,LW,66,Spain
Íñigo López,SD Huesca,2017/18,CB,69,Spain
M. Hongla,Granada CF,2017/18,CDM,67,Cameroon
Akapo,SD Huesca,2017/18,LB,68,Equatorial Guinea
Lluis López,RCD Espanyol,2017/18,CB,68,Spain
L. Suárez,Villarreal CF,2017/18,LW,70,Argentina
Javi Flaño,CA Osasuna,2017/18,RB,68,Spain
Saúl,RC Deportivo de La Coruña,2017/18,LWB,68,Spain
P. Malong,Granada CF,2017/18,CM,67,Cameroon
Pulido,SD Huesca,2017/18,CB,66,Spain
Álex Gallar,SD Huesca,2017/18,LW,67,Spain
A. Yoda,Getafe CF,2017/18,LB,68,France
Puertas,Granada CF,2017/18,LW,68,Spain
Ander Guevara,Real Sociedad,2017/18,CM,68,Spain
M. Olivera,Getafe CF,2017/18,LB,68,Uruguay
Fran Rodríguez,UD Almería,2017/18,RB,65,Spain
L. Bijker,Cádiz C.F.,2017/18,LB,68,Netherlands
Camacho,SD Huesca,2017/18,LW,69,Spain
Servando,Cádiz C.F.,2017/18,CB,68,Spain
Iriondo,Granada CF,2017/18,LWB,68,Spain
Toni Villa,Real Valladolid,2017/18,CM,65,Spain
J. Narváez,Real Betis Balompié,2017/18,RW,63,Colombia
Sergio Marcos,Real Valladolid,2017/18,CDM,68,Spain
E. Ávila,SD Huesca,2017/18,RW,65,Argentina
Kike Barja,CA Osasuna,2017/18,RW,65,Spain
Aguilera,SD Huesca,2017/18,CM,68,Spain
Aitor Buñuel,CA Osasuna,2017/18,RB,68,Spain
Joaquín,UD Almería,2017/18,CDM,67,Spain
Unai Simón,Athletic Club de Bilbao,2017/18,GK,67,Spain
Licá,Granada CF,2017/18,LW,67,Portugal
Óscar,Real Madrid CF,2017/18,CM,68,Spain
Nagore,SD Huesca,2017/18,RB,68,Spain
Kike Sola,Athletic Club de Bilbao,2017/18,ST,70,Spain
Eloi Amagat,Girona CF,2017/18,CM,68,Spain
Francis,Real Betis Balompié,2017/18,RW,65,Spain
Alberto Perea,Cádiz C.F.,2017/18,CAM,69,Spain
E. Cecchini,Málaga CF,2017/18,CM,68,Argentina
José Suarez,Girona CF,2017/18,GK,67,Spain
Eneko Capilla,Real Sociedad,2017/18,CM,67,Spain
M. López,Cádiz C.F.,2017/18,CB,66,Argentina
Carrillo,Cádiz C.F.,2017/18,ST,67,Spain
Paik Seung Ho,Girona CF,2017/18,LW,67,Korea Republic
Diego Aguirre,Rayo Vallecano,2017/18,LW,67,Spain
R. Manaj,Granada CF,2017/18,ST,67,Albania
Dani Romera,Cádiz C.F.,2017/18,RW,67,Spain
I. Kecojević,Cádiz C.F.,2017/18,CB,64,Montenegro
Rubén Yáñez,Cádiz C.F.,2017/18,GK,67,Spain
Rafa Mir,Valencia CF,2017/18,RW,66,Spain
Bicho,RC Deportivo de La Coruña,2017/18,LW,67,Spain
A. Hjulsager,RC Celta de Vigo,2017/18,RW,67,Denmark
Cristian Rivero,Valencia CF,2017/18,GK,66,Spain
Guridi,Real Sociedad,2017/18,CAM,63,Spain
P. Sisniega,Real Sociedad,2017/18,GK,66,Mexico
Bardají,SD Huesca,2017/18,GK,67,Spain
Nacho Méndez,Real Sporting de Gijón,2017/18,CM,65,Spain
Iván Villar,RC Celta de Vigo,2017/18,GK,64,Spain
Nico Hidalgo,Cádiz C.F.,2017/18,RW,66,Spain
Ángel,Real Valladolid,2017/18,LWB,66,Spain
Tià Sastre,RC Celta de Vigo,2017/18,LW,66,Spain
Álvaro Tejero,Real Madrid CF,2017/18,RB,66,Spain
Andrés Prieto,Málaga CF,2017/18,GK,64,Spain
Mandi,UD Almería,2017/18,CB,65,Spain
Adrián,Deportivo Alavés,2017/18,LB,62,Spain
Fernando,UD Almería,2017/18,GK,66,Spain
Miguel Díaz,CA Osasuna,2017/18,CAM,68,Spain
D. Dražić,RC Celta de Vigo,2017/18,LW,66,Serbia
Benito,UD Las Palmas,2017/18,CAM,66,Spain
Rober Correa,Cádiz C.F.,2017/18,RWB,67,Spain
S. Marreh,Real Valladolid,2017/18,CB,66,Gambia
Óscar Whalley,Real Sporting de Gijón,2017/18,GK,65,Spain
Dani Sotres,RC Celta de Vigo,2017/18,GK,65,Spain
E. Demirović,Deportivo Alavés,2017/18,ST,61,Bosnia Herzegovina
K. Baysal,Getafe CF,2017/18,LW,64,Turkey
Claudio,Real Sporting de Gijón,2017/18,ST,64,Spain
Juan Rodríguez,Real Sporting de Gijón,2017/18,CDM,64,Spain
Diego Alende,RC Celta de Vigo,2017/18,CB,65,Spain
Kevin,RC Celta de Vigo,2017/18,RB,65,Spain
Agus Medina,RC Celta de Vigo,2017/18,RW,64,Spain
P. Estupiñán,UD Almería,2017/18,LB,65,Ecuador
Erik Expósito,UD Las Palmas,2017/18,ST,62,Spain
Jean Carlos,Granada CF,2017/18,CAM,65,Brazil
Gorosabel,Real Sociedad,2017/18,RB,63,Spain
Isi Gómez,Granada CF,2017/18,CAM,65,Spain
Adri Castellano,Granada CF,2017/18,LB,65,Spain
Dani Martín,Real Sporting de Gijón,2017/18,GK,62,Spain
Borja Domingo,Levante UD,2017/18,ST,67,Spain
Javi Jiménez,Valencia CF,2017/18,CB,65,Spain
Robert Costa,RC Celta de Vigo,2017/18,CB,65,Spain
Jesús Areso,Athletic Club de Bilbao,2017/18,RB,65,Spain
H. Khaloua,UD Almería,2017/18,ST,64,Morocco
K. Soni,Girona CF,2017/18,LW,64,Cameroon
Pablo Fernández,Real Sporting de Gijón,2017/18,ST,63,Spain
Gaspar,UD Almería,2017/18,RW,64,Spain
Julen López,SD Eibar,2017/18,CB,64,Spain
Fabio González,UD Las Palmas,2017/18,CAM,63,Spain
Akieme,Rayo Vallecano,2017/18,LB,62,Spain
Landeta,Deportivo Alavés,2017/18,GK,64,Spain
Luis Fernández,RC Deportivo de La Coruña,2017/18,ST,66,Spain
José Artiles,UD Las Palmas,2017/18,RW,64,Spain
Tarsi,Athletic Club de Bilbao,2017/18,CDM,65,Spain
K. Bare,Atlético Madrid,2017/18,CM,62,Albania
Moha,Cádiz C.F.,2017/18,ST,62,Spain
Edu Frias,RCD Espanyol,2017/18,GK,64,Spain
Manel Royo,RCD Espanyol,2017/18,CB,64,Spain
Dalmau,Villarreal CF,2017/18,ST,64,Spain
Otegui,CA Osasuna,2017/18,CAM,64,Spain
L. Zidane,Real Madrid CF,2017/18,GK,64,France
Imanol García,Villarreal CF,2017/18,CDM,65,Spain
Kilian Grant,SD Huesca,2017/18,RW,64,Spain
D. Eckert,RC Celta de Vigo,2017/18,ST,64,Germany
Álvaro Arencibia,UD Las Palmas,2017/18,CDM,65,Spain
Rulo,SD Huesca,2017/18,LB,64,Spain
Merquelanz,Real Sociedad,2017/18,RW,63,Spain
Pablo Vázquez,Granada CF,2017/18,CDM,61,Spain
N. Schiappacasse,Atlético Madrid,2017/18,RW,62,Uruguay
Kike,Rayo Vallecano,2017/18,CDM,63,Spain
Adrián López,RCD Espanyol,2017/18,GK,64,Spain
Víctor López,Deportivo Alavés,2017/18,CM,61,Spain
José Amo,Sevilla FC,2017/18,CB,63,Spain
Sarriegi,SD Eibar,2017/18,CM,63,Spain
Diego Pampín,RC Celta de Vigo,2017/18,LW,62,Spain
J. Segura,Real Valladolid,2017/18,CB,63,Colombia
Pedro,Real Betis Balompié,2017/18,GK,63,Spain
Mario González,Villarreal CF,2017/18,ST,63,Spain
Pedro Díaz,Real Sporting de Gijón,2017/18,RW,62,Spain
Miguel,Real Valladolid,2017/18,RW,62,Spain
Dani Molina,RC Celta de Vigo,2017/18,CAM,63,Spain
Montoro,Real Sporting de Gijón,2017/18,CB,64,Spain
Sergio Sánchez,SD Huesca,2017/18,ST,63,Spain
L. García,Rayo Vallecano,2017/18,GK,63,Colombia
Calderón,Getafe CF,2017/18,RW,63,Spain
Arellano,CA Osasuna,2017/18,LW,63,Spain
Muguruza,Real Sociedad,2017/18,LW,63,Spain
Quique Cebriá,SD Eibar,2017/18,GK,62,Spain
Eliseo Falcón,Granada CF,2017/18,RB,62,Spain
Miguelón,Villarreal CF,2017/18,RB,62,Spain
De la Calzada,Valencia CF,2017/18,GK,62,Spain
Cristian,SD Eibar,2017/18,CDM,62,Spain
Juan Moreno,Atlético Madrid,2017/18,RW,61,Spain
Erik Ruiz,Deportivo Alavés,2017/18,CB,62,Spain
Víctor Ruiz,Real Sporting de Gijón,2017/18,CB,62,Spain
Mayoral,Real Valladolid,2017/18,LW,62,Spain
Olabe,Atlético Madrid,2017/18,CM,61,Spain
Dani Iglesias,Deportivo Alavés,2017/18,ST,61,Spain
A. Dávila,Real Sociedad,2017/18,ST,62,Uruguay
Sergi González,Atlético Madrid,2017/18,LB,62,Spain
M. Boulahia,Atlético Madrid,2017/18,ST,62,Algeria
Fran Serrano,Granada CF,2017/18,CB,62,Spain
Aarón,Granada CF,2017/18,GK,62,Spain
Sergi Álamo,Girona CF,2017/18,LB,62,Spain
Fran Manzanera,Levante UD,2017/18,CDM,62,Spain
Julio Gracia,Real Betis Balompié,2017/18,CM,61,Spain
Álex García,SD Huesca,2017/18,CB,61,Spain
Yeremi Valerón,UD Las Palmas,2017/18,LB,61,Spain
Juan Pérez,CA Osasuna,2017/18,GK,61,Spain
Luis Perea,CA Osasuna,2017/18,CM,61,Spain
Álex Mozo,CD Leganés,2017/18,CAM,61,Spain
Sergio Arribas,CD Leganés,2017/18,RW,61,Spain
Juan Delgado,Levante UD,2017/18,ST,61,Spain
Tamayo,Getafe CF,2017/18,ST,61,Spain
Diego Parras,UD Las Palmas,2017/18,RB,61,Spain
Alberto López,Málaga CF,2017/18,LB,62,Spain
Javi Pérez,Real Valladolid,2017/18,CM,60,Spain
Juampe,Cádiz C.F.,2017/18,CM,60,Spain
Diego Barri,Getafe CF,2017/18,RB,60,Spain
Tienza,Real Betis Balompié,2017/18,GK,60,Spain
Valera,SD Huesca,2017/18,GK,60,Spain
David Gil,Cádiz C.F.,2017/18,GK,60,Spain
Casitas,UD Almería,2017/18,GK,60,Spain
Tachi,Atlético Madrid,2017/18,CB,60,Spain
Obama,Atlético Madrid,2017/18,LW,59,Spain
Nil Coch,Real Betis Balompié,2017/18,CB,60,Spain
Navas,UD Almería,2017/18,RB,61,Spain
Javi Díaz,Sevilla FC,2017/18,GK,60,Spain
Sergio Benito,Rayo Vallecano,2017/18,ST,59,Spain
Gabi,SD Huesca,2017/18,CAM,58,Spain
Y. Andzouana,Girona CF,2017/18,LW,58,DR Congo
Javito,SD Huesca,2017/18,CB,58,Spain
L. Messi,FC Barcelona,2018/19,RW,94,Argentina
J. Oblak,Atlético Madrid,2018/19,GK,90,Slovenia
D. Godín,Atlético Madrid,2018/19,CB,90,Uruguay
A. Griezmann,Atlético Madrid,2018/19,CAM,89,France
M. ter Stegen,FC Barcelona,2018/19,GK,89,Germany
T. Courtois,Real Madrid,2018/19,GK,89,Belgium
Sergio Busquets,FC Barcelona,2018/19,CDM,89,Spain
Casemiro,Real Madrid,2018/19,CDM,88,Brazil
Isco,Real Madrid,2018/19,LW,88,Spain
Coutinho,FC Barcelona,2018/19,LW,88,Brazil
Marcelo,Real Madrid,2018/19,LB,88,Brazil
G. Bale,Real Madrid,2018/19,ST,88,Wales
S. Umtiti,FC Barcelona,2018/19,CB,87,France
K. Navas,Real Madrid,2018/19,GK,87,Costa Rica
Jordi Alba,FC Barcelona,2018/19,LB,87,Spain
Marco Asensio,Real Madrid,2018/19,RW,85,Spain
Koke,Atlético Madrid,2018/19,LW,85,Spain
A. Vidal,FC Barcelona,2018/19,CAM,85,Chile
K. Benzema,Real Madrid,2018/19,ST,85,France
Filipe Luís,Atlético Madrid,2018/19,LB,85,Brazil
William Carvalho,Real Betis,2018/19,CDM,84,Portugal
Carvajal,Real Madrid,2018/19,RB,84,Spain
Iago Aspas,RC Celta,2018/19,ST,84,Spain
Sergio Asenjo,Villarreal CF,2018/19,GK,84,Spain
E. Banega,Sevilla FC,2018/19,CDM,84,Argentina
O. Dembélé,FC Barcelona,2018/19,RW,83,France
T. Lemar,Atlético Madrid,2018/19,LW,83,France
Q. Promes,Sevilla FC,2018/19,RW,83,Netherlands
Lucas Vázquez,Real Madrid,2018/19,RW,83,Spain
S. Savić,Atlético Madrid,2018/19,CB,83,Montenegro
Nacho Fernández,Real Madrid,2018/19,CB,83,Spain
Sergi Roberto,FC Barcelona,2018/19,RB,83,Spain
Rodrigo,Valencia CF,2018/19,ST,83,Spain
Neto,Valencia CF,2018/19,GK,83,Brazil
Adán,Atlético Madrid,2018/19,GK,83,Spain
Rodri,Atlético Madrid,2018/19,CM,82,Spain
Gelson Martins,Atlético Madrid,2018/19,RW,82,Portugal
Gonçalo Guedes,Valencia CF,2018/19,LW,82,Portugal
Malcom,FC Barcelona,2018/19,RW,82,Brazil
Pau López,Real Betis,2018/19,GK,82,Spain
L. Hernández,Atlético Madrid,2018/19,LB,82,France
T. Partey,Atlético Madrid,2018/19,CDM,82,Ghana
G. Kondogbia,Valencia CF,2018/19,CM,82,Central African Rep.
Rafinha,FC Barcelona,2018/19,CAM,82,Brazil
J. Cillessen,FC Barcelona,2018/19,GK,82,Netherlands
Bartra,Real Betis,2018/19,CB,82,Spain
Willian José,Real Sociedad,2018/19,ST,82,Brazil
A. Guardado,Real Betis,2018/19,CM,82,Mexico
Aduriz,Athletic Club de Bilbao,2018/19,ST,82,Spain
Nélson Semedo,FC Barcelona,2018/19,RB,81,Portugal
Pablo Fornals,Villarreal CF,2018/19,CAM,81,Spain
Williams,Athletic Club de Bilbao,2018/19,LW,81,Spain
A. Correa,Atlético Madrid,2018/19,RW,81,Argentina
Vitolo,Atlético Madrid,2018/19,LW,81,Spain
Pedro León,SD Eibar,2018/19,RW,81,Spain
D. Wass,Valencia CF,2018/19,RB,81,Denmark
M. Gómez,RC Celta,2018/19,ST,80,Uruguay
Carlos Soler,Valencia CF,2018/19,RW,80,Spain
Odriozola,Real Madrid,2018/19,RB,80,Spain
Oyarzabal,Real Sociedad,2018/19,CAM,80,Spain
Mariano,Real Madrid,2018/19,ST,80,Dominican Republic
G. Rulli,Real Sociedad,2018/19,GK,80,Argentina
Gayà,Valencia CF,2018/19,LB,80,Spain
Pacheco,Deportivo Alavés,2018/19,GK,80,Spain
Z. Feddal,Real Betis,2018/19,CB,80,Morocco
T. Inui,Real Betis,2018/19,LW,80,Japan
Portu,Girona FC,2018/19,RW,80,Spain
M. Batshuayi,Valencia CF,2018/19,ST,80,Belgium
T. Vaclík,Sevilla FC,2018/19,GK,80,Czech Republic
Cristian Tello,Real Betis,2018/19,LW,80,Spain
L. Muriel,Sevilla FC,2018/19,ST,80,Colombia
Hugo Mallo,RC Celta,2018/19,RB,80,Spain
Mario Gaspar,Villarreal CF,2018/19,RB,80,Spain
Muniain,Athletic Club de Bilbao,2018/19,CAM,80,Spain
Susaeta,Athletic Club de Bilbao,2018/19,RW,80,Spain
R. Boudebouz,Real Betis,2018/19,CAM,80,Algeria
C. Stuani,Girona FC,2018/19,ST,80,Uruguay
Bruno,Villarreal CF,2018/19,CM,80,Spain
Antunes,Getafe CF,2018/19,LB,80,Portugal
K. Gameiro,Valencia CF,2018/19,ST,80,France
Raúl García,Athletic Club de Bilbao,2018/19,CAM,80,Spain
Juanfran,Atlético Madrid,2018/19,RB,80,Spain
Diego López,RCD Espanyol,2018/19,GK,80,Spain
Jesús Navas,Sevilla FC,2018/19,RW,80,Spain
Moyá,Real Sociedad,2018/19,GK,80,Spain
André Silva,Sevilla FC,2018/19,ST,79,Portugal
M. Dmitrović,SD Eibar,2018/19,GK,79,Serbia
Marcos Llorente,Real Madrid,2018/19,CDM,79,Spain
Granell,Girona FC,2018/19,LWB,79,Spain
A. Sanabria,Real Betis,2018/19,ST,79,Paraguay
Denis Suárez,FC Barcelona,2018/19,CM,79,Spain
Roque Mesa,Sevilla FC,2018/19,CDM,79,Spain
Campaña,Levante UD,2018/19,CDM,79,Spain
Nolito,Sevilla FC,2018/19,LW,79,Spain
Ibai Gómez,Deportivo Alavés,2018/19,RW,79,Spain
Sergio León,Real Betis,2018/19,ST,79,Spain
Borja García,Girona FC,2018/19,LW,79,Spain
Jaume Costa,Villarreal CF,2018/19,LB,79,Spain
Escudero,Sevilla FC,2018/19,LW,79,Spain
Kike García,SD Eibar,2018/19,ST,79,Spain
De Marcos,Athletic Club de Bilbao,2018/19,RB,79,Spain
N. Kalinić,Atlético Madrid,2018/19,ST,79,Croatia
Kiko Casilla,Real Madrid,2018/19,GK,79,Spain
Ángel,Getafe CF,2018/19,ST,79,Spain
Vallejo,Real Madrid,2018/19,CB,78,Spain
David Soria,Getafe CF,2018/19,GK,78,Spain
S. Lobotka,RC Celta,2018/19,CM,78,Slovakia
Capa,Athletic Club de Bilbao,2018/19,RB,78,Spain
J. Mojica,Girona FC,2018/19,LWB,78,Colombia
P. Sisto,RC Celta,2018/19,LW,78,Denmark
A. Januzaj,Real Sociedad,2018/19,RW,78,Belgium
Leo Baptistao,RCD Espanyol,2018/19,RW,78,Brazil
S. Arias,Atlético Madrid,2018/19,RB,78,Colombia
Arbilla,SD Eibar,2018/19,CB,78,Spain
Javi García,Real Betis,2018/19,CDM,78,Spain
Sergio,RC Celta,2018/19,GK,78,Spain
Daniel Carriço,Sevilla FC,2018/19,CB,78,Portugal
Sergio García,RCD Espanyol,2018/19,LW,77,Spain
Javi Fuego,Villarreal CF,2018/19,CDM,77,Spain
Bruno,Getafe CF,2018/19,CB,77,Spain
Rubén Peña,SD Eibar,2018/19,RB,77,Spain
Mikel San José,Athletic Club de Bilbao,2018/19,CM,77,Spain
Álex Remiro,Athletic Club de Bilbao,2018/19,GK,77,Spain
D. Torres,Deportivo Alavés,2018/19,CDM,77,Colombia
Y. Bounou,Girona FC,2018/19,GK,77,Morocco
Victor Sánchez,RCD Espanyol,2018/19,CDM,77,Spain
D. Suárez,Getafe CF,2018/19,RB,77,Uruguay
Markel Bergara,Getafe CF,2018/19,CDM,77,Spain
Munir,FC Barcelona,2018/19,ST,77,Spain
H. Pérez,RCD Espanyol,2018/19,RW,77,Paraguay
Rúben Vezo,Valencia CF,2018/19,CB,77,Portugal
Roberto,RCD Espanyol,2018/19,GK,77,Spain
T. Vermaelen,FC Barcelona,2018/19,CB,77,Belgium
L. Chichizola,Getafe CF,2018/19,GK,77,Argentina
D. Cheryshev,Valencia CF,2018/19,LW,77,Russia
Jordi Masip,Real Valladolid CF,2018/19,GK,77,Spain
B. Espinosa,Girona FC,2018/19,CB,77,Colombia
A. Szymanowski,CD Leganés,2018/19,LW,77,Argentina
M. Diakhaby,Valencia CF,2018/19,CB,77,France
Borja Iglesias,RCD Espanyol,2018/19,ST,77,Spain
G. Shibasaki,Getafe CF,2018/19,LW,77,Japan
S. Boufal,RC Celta,2018/19,LW,77,Morocco
Cote,SD Eibar,2018/19,LB,77,Spain
Rubén Castro,UD Las Palmas,2018/19,ST,77,Spain
Vinícius Júnior,Real Madrid,2018/19,LW,77,Brazil
T. Hernández,Real Sociedad,2018/19,LB,77,France
C. Piccini,Valencia CF,2018/19,RB,77,Italy
Yuri Berchiche,Athletic Club de Bilbao,2018/19,LB,77,Spain
F. Cartabia,Deportivo de La Coruña,2018/19,RW,77,Argentina
E. Ünal,Real Valladolid CF,2018/19,ST,77,Turkey
Jony,Deportivo Alavés,2018/19,LW,77,Spain
F. Orellana,SD Eibar,2018/19,RW,77,Chile
Aleix Vidal,Sevilla FC,2018/19,RB,77,Spain
G. Escalante,SD Eibar,2018/19,CDM,77,Argentina
Juanmi,Real Sociedad,2018/19,LW,76,Spain
N. Radoja,RC Celta,2018/19,CM,76,Serbia
